_RAJ2000;_DEJ2000;HIP;Vmag;Plx;BTmag;VTmag;SpType
deg;deg; ;mag;mas;mag;mag;
----------;----------;------;-----;-------;------;------;------------
  0,600696;  8,956824;   186; 6,33;   7,55; 6,555; 6,354;A6V
  0,602283; -6,059270;   187; 8,99;   6,69; 9,585; 9,052;G0
  0,602694;  6,333013;   188; 8,64;  10,49; 9,211; 8,691;F5
  0,605233; 54,135139;   189; 9,55;   2,49; 9,819; 9,570;A3
  0,605434; 10,776364;   190; 8,74;  10,47; 9,442; 8,779;G0
  0,612961;-46,028896;   191;12,43;  22,98;      ;      ;M3
  0,619827;  8,393859;   192; 8,16;   3,31; 9,475; 8,269;G5
  0,621730;-39,212591;   193; 9,46;   4,77;10,628; 9,535;G8/K0III
  0,623759;  8,485463;   194; 5,70;  26,53; 6,069; 5,735;F0V
  0,625781; 47,422890;   195; 7,62;   8,08; 8,220; 7,668;F8
  0,627006; 51,829976;   196; 8,95;   0,98;11,150; 9,126;K5
  0,632304; 42,147779;   197; 8,97;   1,62;10,192; 9,088;K0
  0,632749; 15,335173;   198; 8,94;   5,12; 9,248; 8,958;A0
  0,635004; 16,256565;   199; 7,24;   4,07; 7,316; 7,241;A0
  0,635489;-33,992633;   200;10,32;   3,17;10,653;10,312;F2

